36834,29837,53841,69410,35042,38319,40802
10915,17100,8994,10544,18042,17747,12437
4,3,0,0,0,0,0
4519,2945,1314,1556,1680,1572,1448
10688,12855,12570,14992,25383,17163,20021
179269,127478,131929,126072,122610,115541,107592
22557,17946,15597,15793,16228,17310,21936
65,58,43,59,62,33,77
18145,19454,15319,13942,11551,8864,9133
0,0,8,6,0,2,2
7,6,9,1,6,4,5
29500,29621,29049,29264,26617,25877,22841
17038,20381,28284,10989,10709,9921,10673
23984,18418,18485,18192,19388,22055,22795
34652,25633,25265,28179,28769,26664,28713
22102,43192,24468,24410,24763,22362,22076
0,0,0,0,1,2,0
2,0,0,0,1,1,1
48080,52028,48116,49395,55782,48683,23118
4221,2521,851,656,669,516,829
22080,21621,23338,23388,25828,24759,21559
12149,16935,27222,14221,15112,16606,14029
45140,44385,36771,38882,38268,35840,35672
4156,7863,4695,1452,1121,1172,1157
55,38,46,30,56,26,25
216634,382102,244528,112754,136684,119489,55208
7,18,11,10,12,13,4
9,16,54,24,17,27,24
692,712,521,452,582,1918,2824
259687,260894,264630,264452,324255,265066,338765
23932,23804,23473,27116,26625,31076,29634
33518,35993,36640,29672,32988,27847,33080
6363,6524,7048,7055,4637,5230,2506
8380,7601,13322,16207,8551,9841,10996
-23,20,11,4,13,8,9
21475,12642,10611,8639,9005,5001,13767
1,0,0,0,0,0,0
68079,69450,71531,77742,76259,77187,63402
71,31,30,20,21,16,21
6651,6705,5837,6859,5113,5318,6018
1225328,1239160,339656,206466,180682,159472,90167
130840,127389,128519,107208,107177,106432,114833
82725,61461,23445,17673,17739,36103,15700
30320,31194,33638,36257,38449,33983,34763
49,65,37,51,62,56,34
162,152,127,105,91,86,106
2806,2626,82966,229700,106671,274199,495157
51442,98443,118938,66638,76401,84299,66219
20,12,4,7,6,14,5
14024,26424,16275,22016,17985,14803,13594
71,65,46,72,64,52,52
1258,1190,1333,1737,1658,1572,1497
1686,1489,2930,3832,1903,2084,1984
62,39,30,31,62,36,45
1286410,1344222,1375180,1560981,1821226,715290,2052612
141330,119616,133985,130971,136660,136181,137163
29028,28275,31205,26746,26318,25628,27371
46191,40048,36359,34974,36256,44071,33522
76886,90842,95107,83524,95304,87705,89231
44223,41435,45394,47245,51367,42099,56752
0,0,2,0,0,0,0
236047,158249,97358,117676,68609,93245,63166
29954,35666,29916,24006,24839,22804,23740
14894,14990,15712,18722,23478,20196,20338
88,72,91,101,311,221,221
371,370,395,427,406,529,438
1855,2068,1518,3192,2380,18888,11953
174517,167201,197159,114323,35513,79912,45092
0,1,0,0,5,0,0
45997,47397,47350,53378,57442,59664,45961
21054,15233,17023,16934,26002,23871,25025
113200,123820,152707,98492,48935,48267,45696
1,1,0,0,1,0,4
96199,169179,107907,72551,70759,66045,68226
447,446,765,1181,747,628,668
3,4,0,0,0,1,0
63904,75414,72413,77237,74695,66331,58665
210,185,127,230,253,240,133
94131,89952,88852,85213,89393,104771,111210
11272,12871,10918,12539,11316,11394,12738
4716,3993,4265,4341,4617,4361,4554
260830,270445,298192,281056,240390,248912,264480
15419,1378,423,217,157,219,272
49399,64405,78639,58096,47808,51675,52810
0,0,0,0,0,0,0
311,307,269,345,259,237,262
2411,5637,8260,4288,4246,4087,3312
210666,151893,142053,108133,46179,37023,40770
0,4,0,5,0,0,0
12940,12094,23494,33892,27088,24220,21473
2,1,0,0,2,1,0
287637,311660,279901,235075,241976,252396,267081
942,1973,1710,1571,989,119,119
30319,24750,27738,19185,20892,20267,22357
2,0,2,0,0,2,2
108,76,85,38,70,67,30
37069,33132,28050,31613,30769,33606,35078
11377,13132,7015,9864,7985,9419,7418
0,0,0,0,0,0,0
1330,1102,1364,1633,954,1172,1250
6445,20540,20442,10234,8729,6913,6831
24480,12040,17834,16530,15500,10832,24419
1326,1953,1577,1402,1233,1726,1331
65336,68704,66092,53631,54361,52918,56343
10,2,7,5,7,6,5
328808,362453,326056,450093,500767,258274,598361
20468,16441,15356,12377,23220,14096,12308
189680,328537,189408,204271,201122,167774,155495
37640,28006,24025,26077,23826,23672,31540
49493,83810,48945,109383,43391,25415,24801
1948368,1628401,1461022,1507073,1531213,1620434,1689985
18238,5303,3324,2892,1601,1673,805
50623,51916,48767,58696,43687,43123,47698
3,2,5,0,0,2,0
3,7,4,8,7,6,4
152394,142707,144365,121146,205252,51367,32746
28745,30285,27306,24097,25932,26858,29079
11258,9597,9220,9406,10363,7740,4626
54731,62229,59396,55130,64147,53313,40453
2052,1788,1732,1766,1922,2153,2892
56571,62900,59642,65014,63864,64290,45516
47,13,8,2,7,0,3
6663,7237,6922,7565,7492,6509,4585
13879,15877,12082,7070,7489,10726,4185
2,0,0,0,0,0,0
237447,249990,198137,172105,196755,211952,290638
2,0,2,2,4,2,5
75826,84500,72201,82364,71655,67386,66727
62145,50405,49959,49916,47116,45096,38966
4669,5484,5454,5743,5901,5708,5230
0,0,0,0,0,0,0
944,788,759,809,760,906,1054
29712,45525,76042,38939,51082,44091,38386
