151033,12981,5955,2394,1385,917,704
127,46,4,4,0,0,0
197284,140814,80644,20302,75,34,16
22401,6878,4763,3839,2092,2815,2076
1,0,0,0,0,0,0
168500,100974,57270,42665,54085,51725,42288
28198,10250,8550,3939,6149,1347,2385
115703,16798,7645,6122,1958,1519,1574
97601,41031,25473,26758,22021,8757,19575
898920,326769,133009,104169,66207,41396,19975
57331,8615,5218,4337,1770,1451,362
171408,68150,109401,41671,39053,47150,29201
107,25,9,2,6,36792,23003
49676,13089,5295,4692,2890,2407,2407
51105,50621,26305,21121,30393,26518,18774
20361,8159,6639,5224,2849,3691,1127
43159,18779,2867,1142,1055,1132,957
38540,8299,5143,5474,6125,3779,4233
35862,7427,3903,2662,1999,1551,601
25129,19809,11581,7796,4352,1929,2968
46744,22897,17980,25511,12579,13626,7043
14431,12299,3951,2226,868,605,453
282,41,44,58,61,86,69
4453,2002,2205,2247,2296,2315,2367
257538,286832,112111,134162,149598,135533,127634
390436,92928,39415,31436,18177,13149,11956
125,62,47,39,42,25,33
241057,74286,89949,92313,44516,62169,32469
3,5,1,1,0,0,0
663240,224102,173124,150460,102423,85789,77766
86385,-23,58,34,9,17,11
763004,335454,463088,388809,178549,107698,79753
133369,116691,159295,67129,34791,22385,11815
56974,9197,21344,8070,3775,2386,2011
43,2,0,1,0,0,0
2,0,0,0,0,0,0
7,0,1,1,0,2,0
39513,18311,13757,8193,5789,4471,3368
746908,85434,21990,14239,13526,24070,15963
23222,16179,15302,15646,12446,8068,21619
44,7,4,8,3,5,0
192948,144437,52480,28326,17683,16312,12615
536297,98422,32438,38841,28738,23631,24119
62209,12150,2834,6469,2250,1646,1282
8614,24517,11772,2005,1671,921,665
0,0,0,0,0,1,0
63303,25783,10456,4683,3743,3481,1851
781433,240075,108314,93651,69950,64731,56523
465680,78003,57003,77051,40481,99908,46063
72014,41408,20142,52438,32740,29682,28611
168979,60407,18682,6863,7306,1508,611
20085,5335,3920,2812,3574,2425,1739
31382,6412,3311,2290,2150,2846,3019
45160,19421,6836,3715,3866,9389,7054
115,50,22,22,4,14,4
98738,39384,20745,14820,10321,4888,3492
39656,12558,7961,10086,8835,10307,8104
91344,24916,3196,1855,1433,1042,620
4,4,1,1,0,0,0
55238,14793,17525,8488,6336,7077,6512
3908,1260,849,641,488,774,204
35105,7188,1909,2169,2105,1385,793
217,32,22,11,15,5,8
27614,2581,983,654,513,296,206
1216705,357821,198502,132173,101761,128148,80139
117707,12954,4986,1583,694,433,325
160963,34375,20618,14302,9996,24746,6752
31569,8057,5766,4596,6121,3921,4603
0,0,0,0,0,0,0
23785,6871,5306,2307,1496,1244,1931
28432,16912,10122,10575,12450,12585,11252
7101,2941,1488,1231,522,339,398
38,26,21,14,15,15,16
724909,338358,248345,248433,209463,238990,186207
24944,6955,5651,5407,2596,2974,2596
323101,89544,69878,57913,56261,50571,51265
24091,6775,3094,5856,4576,3328,4743
10,1,0,0,0,0,1
497,187,70,39,45,41,43
9,1,2,0,0,0,2
404021,100412,64695,64430,47128,52679,38541
92582,35716,18818,11481,8510,7496,5493
562454,92246,37001,41723,51123,40423,17855
39211,28360,39630,54716,24572,25612,26455
5392,2789,2118,1383,1306,10200,4915
51852,18661,11854,11799,7044,8128,5509
6,8,9,0,4,2,6
5179,5435,4613,7711,6730,7449,10375
50,14,5,13,12,21,9
229549,122297,64757,24466,18502,25176,7574
66316,101675,60481,26326,16778,14410,9688
55396,57059,31551,7046,6576,5518,4292
28776,8131,13650,13229,14429,19962,25914
52538,23634,19261,29199,8198,12095,7548
463657,91145,21063,28025,8482,9508,4914
293816,63866,28495,21199,21948,20507,7001
1024114,290877,118436,109113,59052,33121,51090
857191,146502,54668,55977,48086,14548,11642
6318,10467,10008,2898,2124,3936,3139
124769,29682,9709,12820,8688,5418,2456
50525,35627,31563,26496,24107,23809,20062
70788,11088,7651,2095,1099,934,979
39002,11697,3705,2359,2643,7995,3963
497845,111558,37799,22910,6939,10766,5427
40419,9579,3912,2662,2186,1724,1468
24257,24035,5681,7861,5948,8958,7916
86812,69944,15587,10679,13106,11822,4870
54569,17708,2143,1236,940,629,388
220908,134442,64199,20537,15713,18040,13574
23,4,0,2,0,0,0
58494,14812,6552,5472,1769,807,479
43702,31681,18451,11023,9922,8695,4664
47432,7269,5270,2946,1567,1495,1661
18784,3734,2494,2769,1111,1770,1889
28840,9779,6092,3822,4076,2026,5324
8,0,0,0,0,0,0
160,44,7,13,3,5,2
26266,9781,7556,7450,7368,5491,11936
22120,11056,9973,6297,4084,3956,3470
56643,17248,6704,4396,2860,2087,2102
53665,4507,5565,6766,5034,2544,3277
40155,26234,20445,4701,3597,5331,2688
5912,3350,261,211,152,114,56
494,0,0,0,0,0,0
109608,32323,123740,118220,103575,92041,136852
298656,141446,79368,97471,41956,48626,59815
42,2,0,0,1,0,1
166530,83454,67966,108602,36556,38243,30209
98517,24194,15213,14100,11427,7705,20103
19324,4210,871,451,223,193,192
10,1,0,1,0,1,0
19,3,1,1,0,0,0
396522,153103,593156,325438,108295,65692,47370
113686,29642,28077,19357,20385,20163,13974
66614,17617,7300,6252,3290,2358,2101
16,5,3,4,0,0,0
226941,609972,270689,226118,188355,175175,170809
364310,139785,67692,53730,28664,22117,10285
929825,231795,130600,135788,144117,130082,118695
172936,23851,18988,7019,1074,836,256
34780,10054,4920,2981,1341,1587,975
78014,30709,20027,18911,13460,12671,8233
703,183,112,132,99,90,34
18,3,0,0,0,2,1
18,3,10,3,4,3,2
54930,42570,34228,51472,33967,42886,16265
43830,12537,6892,2020,1725,5069,949
1655013,626651,182531,197507,203774,177999,87326
35031,6254,3988,1900,1708,1730,1366
21256,12730,6689,6259,4135,3839,3158
29284,29431,19511,2192,1975,2513,893
62484,17422,4138,8730,4572,2153,1987
1106,494,150,139,140,160,72
375733,162922,48044,53099,23369,14123,14118
247907,88410,91044,65532,68971,43897,19342
137066,58147,30616,36947,21326,24109,23421
5,0,0,0,1,1,0
8,0,1,0,0,0,0
2,0,0,0,0,0,0
49640,11804,11862,4368,3591,1817,1773
201605,87459,79120,34524,30957,20991,18737
3400389,758785,202285,162206,139133,84791,59316
7,3,0,0,0,0,0
32765,26747,12583,7240,6417,6508,1867
1213619,360785,173512,193955,181996,182862,132103
114195,84083,86925,24757,27196,23839,9155
4339,410,96,64,49,51,42
724528,193959,84978,66269,47698,35385,36589
28060,4220,3037,2598,2616,3094,3092
94110,85539,10933,7279,6097,5531,4382
51184,13839,3201,3384,2273,2178,1024
52795,13105,9587,4196,4034,1713,3409
335317,66197,36942,22240,13127,9094,7307
68539,24772,9406,1826,1238,1110,991
30763,9632,5522,5582,3304,2816,2364
1053,24,17,2,6,5,0
7111,2230,1579,3282,4005,5472,5465
107233,43781,26817,28244,19495,15535,12935
30,4,4,1,3,1,2
296290,89710,41305,15158,11337,8803,6100
101346,15506,11374,17284,5609,3785,4233
52933,29255,37532,15068,4649,1886,772
45735,10822,4567,4273,3831,2358,3350
3,0,1,2,1,3,3
9174,3461,3269,865,700,383,254
71016,60961,7036,5749,4027,2582,1854
334964,305624,260710,100043,61874,61904,55949
38,6,6,5,1,3,2
381534,96711,30258,28822,39888,18018,10856
10,3,3,1,2,3,4
44687,6661,20629,70661,51708,57678,61242
226543,39971,13802,7595,4917,3476,2757
1028735,211489,183401,154820,126865,90904,92169
50128,8425,8427,3429,2786,2409,11021
62066,10710,11990,5469,1022,451,585
49259,17258,13614,17026,14783,16427,13485
1119,269,325,242,124,128,45
22393,8267,4948,2373,1372,1124,1057
699979,177975,80554,63273,49037,34923,43033
27150,8175,4029,3336,2466,1902,2227
236555,71669,6183,2849,3711,2341,1339
125093,47329,40216,18747,14943,15656,17029
436418,126243,23355,61731,33623,17098,6445
29667,9450,4787,4137,2590,2178,1325
24370,12496,6821,3488,4064,3132,3931
78452,21851,7395,4037,5321,6269,1923
37745,12050,8540,4851,3734,2790,2065
15020,3405,3306,2093,1328,1026,352
247,144,78,57,24,32,24
397751,154075,67928,50665,30387,20880,14947
182287,30266,7921,4593,3454,2152,2046
32177,5949,2157,1214,1112,1327,1389
36196,26660,12288,8439,9647,8089,2477
14,5,3,0,0,3,3
3331998,2174711,754317,431021,480679,334683,378376
1511,3104,1942,2113,2441,3177,3013
37133,8651,4602,2620,3992,2517,1492
51664,15249,5137,2510,1492,2788,2297
1921,494,230,62,53,29,25
169799,147916,59519,55698,44483,35260,20309
66349,33749,44800,41282,28327,19397,14503
42,5,5,6,6,6,5
507469,178971,119721,75650,68042,38884,81067
299798,32142,6996,3700,4644,2550,2164
218701,48249,19518,26453,20169,17859,12224
32020,10670,2238,595,205,255,233
51678,10414,3964,2619,2063,1829,1709
997,653,377,431,461,1102,1080
146247,32647,14319,6206,1527,1000,953
212758,60744,37743,32630,22860,20714,18298
2152,697,846,764,631,746,664
14753,4625,6195,4098,2870,2228,4298
341566,78596,52978,34606,12715,38836,13311
273914,59384,29552,22117,14224,14558,10360
